robot_ratio,task_ratio,robot,task,zero_success_rate,zero_avg_reward,zero_avg_steps,zero_avg_final_distance,ft_success_rate,ft_avg_reward,ft_avg_steps,ft_avg_final_distance,improvement,adapt_timesteps_to_threshold
"[100, 0]","[50, 50]",panda,reach,0.48,-646.4797,603.98,0.1034,0.33,-735.6888,664.22,0.238,-0.14999999999999997,120000
"[100, 0]","[50, 50]",panda,push,0.25,-400.6396,664.07,0.1468,0.29,-355.1904,658.35,0.122,0.03999999999999998,
"[100, 0]","[50, 50]",panda,moving,0.41,-555.3568,645.08,0.1765,0.29,-595.846,676.36,0.1993,-0.12,
"[100, 0]","[50, 50]",kuka,reach,0.94,-781.589,413.88,0.0856,0.95,-784.3501,390.37,0.0854,0.010000000000000009,10000
"[100, 0]","[50, 50]",kuka,push,0.02,-471.6793,793.3,0.1901,0.0,-506.876,800.0,0.19,-0.02,
"[100, 0]","[50, 50]",kuka,moving,0.04,-721.1969,797.28,0.2495,0.3,-541.7003,704.93,0.1893,0.26,
"[100, 0]","[50, 50]",xarm6,reach,0.0,-1507.6441,800.0,0.1466,0.15,-966.714,759.83,0.2027,0.15,
"[100, 0]","[50, 50]",xarm6,push,0.0,-673.6038,800.0,0.2022,0.18,-217.991,733.18,0.1631,0.18,
"[100, 0]","[50, 50]",xarm6,moving,0.0,-898.5632,800.0,0.2232,0.07,-587.4432,782.66,0.2026,0.07,
"[75, 25]","[50, 50]",panda,reach,0.27,-706.5122,694.69,0.1014,0.95,-574.8081,406.14,0.0517,0.6799999999999999,60000
"[75, 25]","[50, 50]",panda,push,0.37,-350.9427,611.86,0.1519,0.22,-410.3069,682.79,0.1592,-0.15,
"[75, 25]","[50, 50]",panda,moving,0.41,-552.8809,641.72,0.1932,0.17,-616.3104,740.31,0.2206,-0.23999999999999996,
"[75, 25]","[50, 50]",kuka,reach,1.0,-803.8727,391.21,0.072,1.0,-755.3362,361.83,0.0749,0.0,10000
"[75, 25]","[50, 50]",kuka,push,0.0,-406.4349,800.0,0.1789,0.0,-394.3104,800.0,0.2201,0.0,
"[75, 25]","[50, 50]",kuka,moving,0.01,-652.0127,797.34,0.2823,0.19,-570.994,755.73,0.2168,0.18,
"[75, 25]","[50, 50]",xarm6,reach,0.0,-1385.6906,800.0,0.4992,0.0,-1153.8649,800.0,0.1709,0.0,
"[75, 25]","[50, 50]",xarm6,push,0.0,-623.1811,800.0,0.2022,0.04,-259.3505,788.53,0.1789,0.04,
"[75, 25]","[50, 50]",xarm6,moving,0.0,-846.2415,800.0,0.2232,0.02,-600.2149,796.61,0.225,0.02,
"[50, 50]","[50, 50]",panda,reach,0.56,-650.3679,620.26,0.073,0.92,-556.6045,412.81,0.0522,0.36,10000
"[50, 50]","[50, 50]",panda,push,0.02,-457.5112,788.05,0.1624,0.18,-436.9221,714.26,0.2227,0.16,
"[50, 50]","[50, 50]",panda,moving,0.1,-715.9198,755.9,0.2266,0.3,-602.4657,717.69,0.1756,0.19999999999999998,200000
"[50, 50]","[50, 50]",kuka,reach,0.98,-768.1772,374.42,0.0839,1.0,-756.6208,360.9,0.0763,0.020000000000000018,10000
"[50, 50]","[50, 50]",kuka,push,0.03,-393.5399,783.57,0.2088,0.11,-199.8216,743.41,0.2088,0.08,
"[50, 50]","[50, 50]",kuka,moving,0.07,-568.8879,765.07,0.2678,0.1,-654.278,750.65,0.2393,0.03,
"[50, 50]","[50, 50]",xarm6,reach,0.0,-1114.0615,800.0,0.3597,0.4,-919.862,717.45,0.1603,0.4,
"[50, 50]","[50, 50]",xarm6,push,0.0,-558.178,800.0,0.2022,0.14,-307.6353,773.88,0.1728,0.14,
"[50, 50]","[50, 50]",xarm6,moving,0.0,-783.7613,800.0,0.2235,0.0,-746.6766,800.0,0.228,0.0,
"[25, 75]","[50, 50]",panda,reach,0.42,-660.2924,660.21,0.0691,0.57,-666.093,564.19,0.1393,0.14999999999999997,30000
"[25, 75]","[50, 50]",panda,push,0.02,-458.5432,789.93,0.1713,0.15,-402.9003,725.53,0.1746,0.13,
"[25, 75]","[50, 50]",panda,moving,0.14,-649.6354,758.3,0.2245,0.16,-651.3207,745.07,0.2493,0.01999999999999999,
"[25, 75]","[50, 50]",kuka,reach,0.26,-953.4414,692.56,0.1534,0.92,-774.9574,396.8,0.0872,0.66,20000
"[25, 75]","[50, 50]",kuka,push,0.14,-196.6568,750.32,0.1618,0.17,-162.0479,729.13,0.19,0.03,
"[25, 75]","[50, 50]",kuka,moving,0.25,-447.2363,687.02,0.1993,0.17,-513.5016,719.1,0.2328,-0.07999999999999999,
"[25, 75]","[50, 50]",xarm6,reach,0.42,-1522.293,703.95,0.4119,0.36,-966.1739,714.42,0.1329,-0.06,90000
"[25, 75]","[50, 50]",xarm6,push,0.0,-518.9114,800.0,0.2022,0.0,-347.3666,800.0,0.1919,0.0,
"[25, 75]","[50, 50]",xarm6,moving,0.0,-722.0306,800.0,0.2232,0.0,-747.2002,800.0,0.2232,0.0,
"[0, 100]","[50, 50]",panda,reach,0.08,-786.9021,766.33,0.1967,0.66,-636.2739,564.71,0.0928,0.5800000000000001,100000
"[0, 100]","[50, 50]",panda,push,0.0,-535.323,800.0,0.1948,0.37,-301.0028,626.89,0.1338,0.37,
"[0, 100]","[50, 50]",panda,moving,0.0,-795.9193,800.0,0.2446,0.66,-427.8488,574.57,0.1011,0.66,270000
"[0, 100]","[50, 50]",kuka,reach,0.95,-788.0113,388.57,0.0997,1.0,-763.3219,364.77,0.0831,0.050000000000000044,10000
"[0, 100]","[50, 50]",kuka,push,0.14,-141.3978,739.39,0.1542,0.17,-109.6321,728.53,0.1447,0.03,
"[0, 100]","[50, 50]",kuka,moving,0.24,-419.8268,725.44,0.191,0.18,-456.885,740.4,0.2636,-0.06,
"[0, 100]","[50, 50]",xarm6,reach,0.0,-2305.9623,800.0,0.7735,0.14,-969.7618,771.58,0.1255,0.14,
"[0, 100]","[50, 50]",xarm6,push,0.0,-454.2187,800.0,0.2006,0.07,-312.4711,786.5,0.142,0.07,
"[0, 100]","[50, 50]",xarm6,moving,0.0,-692.5461,800.0,0.2023,0.08,-538.3758,795.7,0.3015,0.08,
