robot_ratio,task_ratio,robot,task,adapt_timesteps_to_threshold
"[100, 0]","[50, 50]",panda,reach,120000.0
"[100, 0]","[50, 50]",kuka,reach,10000.0
"[75, 25]","[50, 50]",panda,reach,60000.0
"[75, 25]","[50, 50]",kuka,reach,10000.0
"[50, 50]","[50, 50]",panda,reach,10000.0
"[50, 50]","[50, 50]",panda,moving,200000.0
"[50, 50]","[50, 50]",kuka,reach,10000.0
"[25, 75]","[50, 50]",panda,reach,30000.0
"[25, 75]","[50, 50]",kuka,reach,20000.0
"[25, 75]","[50, 50]",xarm6,reach,90000.0
"[0, 100]","[50, 50]",panda,reach,100000.0
"[0, 100]","[50, 50]",panda,moving,270000.0
"[0, 100]","[50, 50]",kuka,reach,10000.0
