robot_ratio,task_ratio,robot,task,zero_success_rate,zero_avg_reward,zero_avg_steps,zero_avg_final_distance,ft_success_rate,ft_avg_reward,ft_avg_steps,ft_avg_final_distance,improvement,adapt_timesteps_to_threshold
"[50, 50]","[100, 0]",panda,reach,0.89,-582.9104,429.27,0.0749,0.92,-567.1729,399.44,0.065,0.030000000000000027,10000
"[50, 50]","[100, 0]",kuka,reach,0.84,-828.9846,490.71,0.1203,0.86,-827.5644,447.44,0.1355,0.020000000000000018,10000
"[50, 50]","[100, 0]",xarm6,reach,0.71,-1635.0077,743.26,0.0825,0.11,-980.2244,761.97,0.2102,-0.6,10000
"[50, 50]","[100, 0]",panda,push,0.0,-733.9469,800.0,0.1937,0.0,-542.2061,800.0,0.1734,0.0,
"[50, 50]","[100, 0]",kuka,push,0.0,-496.9833,800.0,0.2022,0.0,-620.9174,800.0,0.2022,0.0,
"[50, 50]","[100, 0]",xarm6,push,0.0,-645.7146,800.0,0.2022,0.01,-196.7573,797.27,0.1892,0.01,
"[50, 50]","[100, 0]",panda,moving,0.0,-951.1961,800.0,0.2351,0.19,-767.4665,757.95,0.2487,0.19,
"[50, 50]","[100, 0]",kuka,moving,0.0,-724.4267,800.0,0.2595,0.01,-725.3597,796.98,0.2594,0.01,
"[50, 50]","[100, 0]",xarm6,moving,0.0,-850.3247,800.0,0.2232,0.02,-678.5609,793.66,0.2338,0.02,
"[50, 50]","[75, 25]",panda,reach,0.01,-896.0475,796.71,0.2778,0.62,-657.4795,536.92,0.1437,0.61,80000
"[50, 50]","[75, 25]",kuka,reach,0.96,-774.7306,383.84,0.0829,1.0,-750.3092,356.33,0.0736,0.040000000000000036,10000
"[50, 50]","[75, 25]",xarm6,reach,0.04,-963.5352,794.4,0.2546,0.92,-759.2506,586.1,0.0734,0.88,120000
"[50, 50]","[75, 25]",panda,push,0.25,-334.4441,703.24,0.1296,0.34,-295.4819,628.87,0.1147,0.09000000000000002,
"[50, 50]","[75, 25]",kuka,push,0.0,-484.4699,800.0,0.2021,0.25,-181.9208,665.43,0.1488,0.25,
"[50, 50]","[75, 25]",xarm6,push,0.0,-697.812,800.0,0.2022,0.15,-248.0697,780.0,0.1453,0.15,
"[50, 50]","[75, 25]",panda,moving,0.18,-594.9973,725.55,0.1897,0.2,-612.5247,712.82,0.2006,0.020000000000000018,
"[50, 50]","[75, 25]",kuka,moving,0.0,-721.3434,800.0,0.2596,0.05,-693.7985,786.92,0.2387,0.05,
"[50, 50]","[75, 25]",xarm6,moving,0.0,-856.5979,800.0,0.2232,0.17,-505.3849,755.35,0.2045,0.17,
"[50, 50]","[50, 50]",panda,reach,0.56,-650.3679,620.26,0.073,0.92,-556.6045,412.81,0.0522,0.36,10000
"[50, 50]","[50, 50]",kuka,reach,0.98,-768.1772,374.42,0.0839,1.0,-756.6208,360.9,0.0763,0.020000000000000018,10000
"[50, 50]","[50, 50]",xarm6,reach,0.0,-1114.0615,800.0,0.3597,0.4,-919.862,717.45,0.1603,0.4,
"[50, 50]","[50, 50]",panda,push,0.02,-457.5112,788.05,0.1624,0.18,-436.9221,714.26,0.2227,0.16,
"[50, 50]","[50, 50]",kuka,push,0.03,-393.5399,783.57,0.2088,0.11,-199.8216,743.41,0.2088,0.08,
"[50, 50]","[50, 50]",xarm6,push,0.0,-558.178,800.0,0.2022,0.14,-307.6353,773.88,0.1728,0.14,
"[50, 50]","[50, 50]",panda,moving,0.1,-715.9198,755.9,0.2266,0.3,-602.4657,717.69,0.1756,0.19999999999999998,200000
"[50, 50]","[50, 50]",kuka,moving,0.07,-568.8879,765.07,0.2678,0.1,-654.278,750.65,0.2393,0.03,
"[50, 50]","[50, 50]",xarm6,moving,0.0,-783.7613,800.0,0.2235,0.0,-746.6766,800.0,0.228,0.0,
"[50, 50]","[25, 75]",panda,reach,0.41,-731.0334,713.27,0.0864,0.34,-691.7438,664.26,0.1695,-0.06999999999999995,30000
"[50, 50]","[25, 75]",kuka,reach,0.62,-942.2322,614.18,0.1066,0.6,-871.3132,542.92,0.1546,-0.020000000000000018,10000
"[50, 50]","[25, 75]",xarm6,reach,0.0,-1210.5771,800.0,0.3513,0.28,-934.6755,764.47,0.1927,0.28,240000
"[50, 50]","[25, 75]",panda,push,0.13,-403.0934,725.33,0.2003,0.35,-294.1919,619.54,0.1187,0.21999999999999997,
"[50, 50]","[25, 75]",kuka,push,0.0,-439.3518,800.0,0.2057,0.0,-425.1678,800.0,0.3083,0.0,
"[50, 50]","[25, 75]",xarm6,push,0.0,-566.5981,800.0,0.2022,0.15,-276.0444,762.25,0.15,0.15,
"[50, 50]","[25, 75]",panda,moving,0.44,-492.8938,574.48,0.1486,0.37,-557.9694,643.55,0.1834,-0.07,30000
"[50, 50]","[25, 75]",kuka,moving,0.0,-625.096,800.0,0.3044,0.0,-601.5081,800.0,0.4036,0.0,
"[50, 50]","[25, 75]",xarm6,moving,0.0,-774.9367,800.0,0.2232,0.0,-764.3421,800.0,0.2232,0.0,
"[50, 50]","[0, 100]",panda,reach,0.0,-1636.4052,800.0,0.4726,0.14,-834.6203,752.61,0.1313,0.14,
"[50, 50]","[0, 100]",kuka,reach,0.0,-1491.1792,800.0,0.3403,0.97,-875.4257,470.72,0.101,0.97,230000
"[50, 50]","[0, 100]",xarm6,reach,0.0,-1368.8503,800.0,0.3938,0.46,-982.9284,723.25,0.1446,0.46,220000
"[50, 50]","[0, 100]",panda,push,0.15,-380.5366,729.66,0.1184,0.18,-361.221,698.38,0.1178,0.03,
"[50, 50]","[0, 100]",kuka,push,0.23,-245.3318,693.77,0.2394,0.07,-255.2199,765.53,0.2008,-0.16,
"[50, 50]","[0, 100]",xarm6,push,0.0,-496.0231,800.0,0.2022,0.0,-392.0053,800.0,0.2093,0.0,
"[50, 50]","[0, 100]",panda,moving,0.55,-470.8957,560.96,0.132,0.61,-460.776,548.62,0.1252,0.05999999999999994,20000
"[50, 50]","[0, 100]",kuka,moving,0.31,-460.3038,684.52,0.2597,0.0,-666.934,800.0,0.252,-0.31,
"[50, 50]","[0, 100]",xarm6,moving,0.0,-730.1743,800.0,0.2232,0.0,-720.6203,800.0,0.2232,0.0,
