task_ratio,robot_ratio,task,robot,adapt_timesteps_to_threshold
"[100, 0]","[50, 50]",reach,panda,10000.0
"[100, 0]","[50, 50]",reach,kuka,10000.0
"[100, 0]","[50, 50]",reach,xarm6,10000.0
"[75, 25]","[50, 50]",reach,panda,80000.0
"[75, 25]","[50, 50]",reach,kuka,10000.0
"[75, 25]","[50, 50]",reach,xarm6,120000.0
"[50, 50]","[50, 50]",reach,panda,10000.0
"[50, 50]","[50, 50]",reach,kuka,10000.0
"[50, 50]","[50, 50]",moving,panda,200000.0
"[25, 75]","[50, 50]",reach,panda,30000.0
"[25, 75]","[50, 50]",reach,kuka,10000.0
"[25, 75]","[50, 50]",reach,xarm6,240000.0
"[25, 75]","[50, 50]",moving,panda,30000.0
"[0, 100]","[50, 50]",reach,kuka,230000.0
"[0, 100]","[50, 50]",reach,xarm6,220000.0
"[0, 100]","[50, 50]",moving,panda,20000.0
